tail_number,engine_uid
N730AV,3IA007
D-ASPA,3CM028
D-ASPB,3CM028
CS-TTN,3CM027
CS-TTO,3CM027
N4866U,3IA007
N805UA,3IA006
N808UA,3IA006
N810UA,3IA006
N812UA,3IA006
N820UA,3IA006
N824UA,3IA006
N825UA,3IA006
N827UA,3IA006
N845UA,3IA006
N524VA,3CM028
N535NK,3IA007
N536NK,3IA007
D-ABGR,3CM028
XY-AGU,3CM027
XA-VOC,3IA007
TC-NYZ,3IA007
EC-MTL,3CM027
YR-URS,3IA007
8Q-FBA,3CM027
XY-ALK,6CM044
XY-ALZ,3CM028
XY-AGR,3CM028
XY-ALN,3CM028
XY-AGV,3CM027
5A-OND,3CM027
4W-AAO,6CM044
F-HDSJ,01P08CM107
B-305L,01P08CM108
B-306C,01P08CM108
N9015D,01P08CM107
N3014R,3CM028
N4005X,3CM028
N5007E,6CM044
N8001N,3CM028
N8009T,3CM028
N9011P,3CM028
N9012,3CM028
N9013A,3CM028
N9016,01P08CM107
N9017P,6CM044
N90024,01P08CM108
N9026C,6CM044
N8027D,6CM044
N772XF,3CM028
N773XF,3CM028
N774XF,3CM028
N775XF,3CM028
N776XF,3CM028
N177XF,3CM028
N778XF,3CM028
N9021H,6CM044
N70020,6CM044
N9025B,01P08CM108
N700UW,3CM028
N701UW,3CM028
N702UW,3CM028
N703UW,3CM028
N704US,3CM028
N705UW,3CM028
N708UW,3CM028
N709UW,3CM028
N710UW,3CM028
N711UW,3CM028
N712US,3CM028
N713UW,3CM028
N714US,3CM028
N715UW,3CM028
N716UW,3CM028
N717UW,3CM028
N721UW,3CM028
N722US,3CM028
N723UW,3CM028
N724UW,3CM028
N725UW,3CM028
N730US,3CM028
N732US,3CM028
N733UW,3CM028
N737US,3CM028
N738US,3CM028
N740UW,3CM028
N741UW,3CM028
N742PS,3CM028
N744P,3CM028
N745VJ,3CM028
N746UW,3CM028
N747UW,3CM028
N748UW,3CM028
N749US,3CM028
N750UW,3CM028
N751UW,3CM028
N752US,3CM028
N753US,3CM028
N754UW,3CM028
N755US,3CM028
N756US,3CM028
N757UW,3CM028
N758US,3CM028
N760US,3CM028
N762US,3CM028
N763US,3CM028
N764US,3CM028
N765US,3CM028
N766US,3CM028
N767UW,3CM028
N768US,3CM028
N769US,3CM028
N770UW,3CM028
N801AW,3IA007
N802AW,3IA007
N803AW,3IA007
N804AW,3IA007
N805AW,3IA007
N806AW,3IA007
N807AW,3IA007
N808AW,3IA007
N809AW,3IA007
N810AW,3IA007
N812AW,3IA007
N813AW,3IA007
N814AW,3IA007
N815AW,3IA007
N816AW,3IA007
N817AW,3IA007
N818AW,3IA007
N819AW,3IA007
N820AW,3IA007
N821AW,3IA007
N822AW,3IA007
N824AW,3IA007
N825AW,3IA007
N826AW,3IA007
N827AW,3IA007
N828AW,3IA007
N829AW,3IA007
N830AW,3IA007
N831AW,3IA007
N832AW,3IA007
N833AW,3IA007
N834AW,3IA007
N835AW,3IA007
N836AW,3IA007
N837AW,3IA007
N838AW,3IA007
N839AW,3IA007
N840AW,3IA007
N9022G,6CM044
N9023N,6CM044
N12028,6CM044
N9029F,01P08CM108
N8030F,01P08CM108
N8031M,01P08CM108
N4032T,01P08CM108
N771XF,3CM028
N422AV,6CM044
N519AV,6CM044
N557AV,6CM044
N647AV,6CM044
N691AV,6CM044
N723AV,6CM044
N726AV,6CM044
N741AV,01P08CM108
OH-LVC,3CM028
OH-LVD,3CM028
OH-LVH,3CM028
OH-LVI,3CM028
OH-LVL,3CM028
G-DBCA,3IA006
G-DBCB,3IA006
G-DBCC,3IA006
G-DBCD,3IA006
G-DBCE,3IA006
G-DBCF,3IA006
G-DBCG,3IA006
G-DBCH,3IA006
G-DBCJ,3IA006
G-DBCK,3IA006
G-EUOE,3IA006
G-EUOG,3IA006
G-EUPD,3IA006
G-EUPG,3IA006
G-EUPJ,3IA006
G-EUPK,3IA006
G-EUPN,3IA006
G-EUPO,3IA006
G-EUPP,3IA006
G-EUPR,3IA006
G-EUPS,3IA006
G-EUPU,3IA006
G-EUPZ,3IA006
A5-DOR,6CM044
A5-RIM,6CM044
OO-SSA,3CM027
OO-SSB,3CM027
OO-SSN,3CM028
OO-SSR,3CM028
OO-SSU,3CM027
OO-SSV,3CM027
OO-SSW,3CM027
OO-SSJ,3CM027
OO-SSL,3CM027
OO-SSX,3CM027
OO-SSO,3CM027
OO-SSF,3CM027
OO-SSY,3CM028
LZ-MAD,3CM027
LZ-MAK,3CM027
LZ-FBA,3CM028
LZ-AOB,3CM028
B-6468,01P08CM108
B-6478,01P08CM108
B-6479,01P08CM108
TU-TSZ,01P08CM107
TU-TSY,01P08CM107
TU-TRF,01P08CM108
TU-TRJ,01P08CM108
B-6183,01P08CM108
B-6187,6CM044
B-6246,8IA009
B-6247,8IA009
B-6248,8IA009
HB-JOJ,3CM028
D-AILB,4CM036
D-AILP,4CM036
D-AILS,4CM036
D-AILT,4CM036
D-AILW,4CM036
D-AILX,4CM036
D-AIBK,3CM028
D-AIBL,3CM028
D-AIBM,3CM028
D-AIBN,3CM028
D-AIBP,3CM028
D-AIBQ,3CM028
B-6453,8IA009
B-6455,8IA009
B-2299,8IA009
B-2300,8IA009
B-6185,8IA009
B-6406,8IA009
B-6410,8IA009
B-6419,8IA009
B-6422,8IA009
B-6433,8IA009
B-6442,8IA009
B-6445,8IA009
B-6447,8IA009
B-6448,8IA009
B-6449,8IA009
B-8798,8IA009
B-8665,8IA009
B-8667,8IA009
B-8693,8IA009
B-6178,3IA007
B-6179,3IA007
B-6180,3IA007
B-6182,3IA007
B-6215,3CM028
B-6245,8IA009
B-6402,3IA007
B-6415,8IA009
B-6416,8IA009
B-6417,8IA009
B-1011,01P08CM108
B-8852,01P08CM108
B-8853,01P08CM108
B-6412,8IA009
B-6413,8IA009
B-6420,8IA009
B-6421,8IA009
D-ABGH,3CM028
D-ASTX,3CM028
N321NB,4CM036
N322NB,4CM036
N323NB,4CM036
N324NB,4CM036
N325NB,4CM036
N326NB,4CM036
N327NB,4CM036
N328NB,4CM036
N329NB,4CM036
N330NB,4CM036
N331NB,4CM036
N332NB,4CM036
N333NB,4CM036
N334NB,4CM036
N335NB,4CM036
N336NB,4CM036
N342NB,4CM036
N343NB,4CM036
N344NB,4CM036
N345NB,4CM036
N346NB,4CM036
N347NB,4CM036
N348NB,4CM036
N349NB,4CM036
N351NB,4CM036
N352NB,4CM036
N353NB,4CM036
N354NB,4CM036
N355NB,4CM036
N357NB,4CM036
N358NB,4CM036
N359NB,4CM036
N360NB,4CM036
N361NB,4CM036
N362NB,4CM036
N363NB,4CM036
N364NB,4CM036
N365NB,4CM036
N366NB,4CM036
N368NB,4CM036
N369NB,4CM036
N370NB,4CM036
N371NB,4CM036
5A-ONI,3CM027
D-AGWA,3IA007
D-AGWB,3IA007
D-AGWC,3IA007
D-AGWD,3IA007
D-AGWE,3IA007
D-AGWF,3IA007
D-AGWG,3IA007
D-AGWH,3IA007
D-AGWI,3IA007
D-AGWJ,3IA007
D-AGWK,3IA007
D-AGWL,3IA007
D-AGWM,3IA007
D-AGWN,3IA007
D-AGWO,3IA007
D-AGWP,3IA007
D-AGWR,3IA007
D-AGWU,3IA007
D-AGWV,3IA007
D-AGWX,3IA007
D-ABGQ,3CM028
9H-EXQ,3IA007
9H-EXS,3IA007
9H-EXT,3IA007
9H-EXW,3IA007
9H-EXY,3IA007
9H-EXZ,3IA007
9A-BER,3CM028
9A-BWK,3CM028
9A-MUC,3CM028
9A-ZAG,3CM027
LZ-FBB,3CM028
N327NV,3CM027
N326NV,3CM027
N331NV,3CM027
N332NV,3CM027
N330NV,3CM027
N334NV,3CM027
N328NV,3CM027
N335NV,3CM027
N329NV,3CM027
N315NV,3CM027
N311NV,3CM027
N337NV,3CM027
N312NV,3CM027
N313NV,3CM027
N338NV,3CM028
ER-SKY,3IA006
EC-KHM,3CM027
EC-KUB,01P08CM106
EC-LEI,01P08CM106
EP-IEP,3CM027
EP-IEQ,3CM027
EP-IER,3CM027
RA-73699,3CM028
EI-IMH,3CM028
EI-IMM,01P08CM106
EI-IMN,3CM027
EI-IMO,3CM028
EI-IMS,01P08CM106
EI-IMV,01P08CM106
EI-IMW,01P08CM106
EI-IMX,01P08CM106
4K-AZ03,3CM027
4K-AZ04,3CM027
4K-AZ05,3CM027
YU-APL,3IA007
YU-APM,3IA007
YU-APN,3IA007
YU-APA,3IA007
YU-APD,3IA007
YU-APB,3IA007
YU-APF,3IA007
PT-TMO,3IA007
PT-TPA,3CM028
PT-TPB,3CM028
PT-TMT,3IA007
PT-TML,3IA007
PR-MBU,3IA007
PR-MBV,3IA007
PR-MBW,3IA007
PR-MYL,3CM028
PR-MYM,3CM028
PT-TMA,3IA007
PT-TMB,3IA007
PT-TMC,3IA007
PT-TMD,3IA007
PT-TME,3IA007
PT-TMG,3IA007
PT-TMI,3IA007
PR-MBN,3IA007
A5-RGF,6CM044
A5-RGG,6CM044
A5-JSW,6CM044
XU-878,3CM028
XU-787,3CM028
B-6192,3IA007
B-6193,8IA009
D-AIBA,3CM028
D-AIBB,3CM028
D-AIBC,3CM028
D-AIBD,3CM028
D-AIBE,3CM028
D-AIBF,3CM028
