departure_date_local,timestamp_utc_start,timestamp_utc_end,carrier,flight_number,tail_number,origin_airport,destination_airport,attributed_contrail_km,eef_climatology_terajoules,analyzed_flight_length_km
2024-09-07,null,null,D0,709,GDHMC,CVG,BAH,null,null,1533.617143
2024-09-21,1726925964,1726926456,D0,376,GDHLE,LEJ,CVG,117.8072414,14.27334778,1982.921673
2024-09-21,null,null,D0,709,GDHLX,CVG,BAH,null,null,2723.900736
2024-09-21,null,null,D0,643,GDHMA,ATL,CVG,null,null,392.2689473
2024-09-21,null,null,D0,2,GDHLX,EMA,CVG,null,null,1930.726853
2024-09-19,null,null,D0,51,GDHLV,PVG,LAX,null,null,1305.59977
2024-09-17,null,null,D0,4,GDHLY,CVG,NGO,null,null,2184.918831
2024-09-17,null,null,D0,709,GDHMD,CVG,BAH,null,null,1563.265312
2024-09-17,1726580132,1726580613,D0,367,GDHLP,JFK,EMA,119.3564439,15.71326582,1468.25304
2024-09-17,1726578930,1726579591,D0,367,GDHLP,JFK,EMA,161.9545936,22.0192354,1468.25304
2024-09-17,1726583441,1726583897,D0,367,GDHLP,JFK,EMA,113.7718665,12.81605917,1468.25304
2024-09-17,1726584141,1726584321,D0,367,GDHLP,JFK,EMA,45.17465608,5.258425081,1468.25304
2024-09-23,1727142343,1727142975,D0,521,GDHMD,HKG,CVG,164.5502697,96.9977266,3595.434305
2024-09-24,1727183420,1727183480,D0,521,GDHMD,CVG,LEJ,16.66103834,2.004083637,2034.843928
2024-09-24,1727184090,1727184202,D0,521,GDHMD,CVG,LEJ,29.56020886,3.561403656,2034.843928
2024-09-15,null,null,D0,701,GDHLU,CVG,BAH,null,null,2250.607841
2024-09-03,null,null,D0,521,GDHMA,CVG,LEJ,null,null,2059.051384
2024-09-24,1727197226,1727197592,D0,51,GDHLY,LAX,EMA,92.53975793,16.09414912,5056.340152
2024-09-24,1727194051,1727194221,D0,51,GDHLY,LAX,EMA,44.73388728,5.56277613,5056.340152
2024-09-23,1727149002,1727149279,D0,4,GDHLU,EMA,CVG,59.67591751,33.48311629,2135.768696
2024-09-23,1727143662,1727143717,D0,4,GDHLU,EMA,CVG,12.484862,7.651961153,2135.768696
2024-09-23,1727142510,1727142759,D0,4,GDHLU,EMA,CVG,58.74830377,37.02541597,2135.768696
